GeneID	Normal 6	Tumor 6	Normal 10	Tumor 10	Normal 9	Tumor 9	Normal 5	Tumor 5	Normal 8	Tumor 8	Normal 3	Tumor 3	Normal 2	Tumor 2	Normal 1	Tumor 1	Normal 4	Tumor 4	Normal 7	Tumor 7
FGF7	55.12739359	3.037729792	47.97148052	11.2991873	35.80097496	1.26118382	19.2558828	6.818667582	62.10792982	0.346643323	49.74509004	27.88987015	21.68703198	23.95271606	31.97941321	10.78046938	22.52685334	10.23061257	20.59967279	0.180838383
RIMS4	0.403063042	0	0.134725005	0.408019616	0.080784264	0	0.068296932	0.024413746	0.188360872	0.480110983	1.076757143	0.621681647	0.119687636	0.013739988	0.038872881	0.706221093	0.175189077	1.299553497	1.467856911	17.56907718
RIMS3	1.677732945	0.506446286	1.292142639	1.834025164	1.199370852	0.287448009	1.304387323	0.624629198	1.846244011	1.562332503	1.262947148	0.775007303	0.99678069	1.752746557	0.875500189	0.303745755	0.928914438	0.944814717	1.353652636	1.096207307
LOC728433	0.274455939	0.04451781	0.13831223	0.125389516	0.188677688	0.036965198	0.246864725	0.020364332	0.345659993	0.218441902	0.070443888	0.224244628	0	0	0	0.076010699	0.250510524	0.038035142	0.105323796	0.045583085
FGF8	0.08273416	0.044732665	0	0.053997719	0	0.334292416	0.057243729	0.061387847	0	0	0	0	0.066878226	0	0.146617549	0.114566319	0.251719551	0.057328064	0.158748173	0.320621566
MIR4507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF9	0.690620205	0.030690755	2.717560519	0.975582628	1.486573117	0.407743274	0.445111059	0.336942037	2.404657305	1.0876285	1.335518155	2.666766125	1.223591036	0.600495111	1.598314692	0.48471922	1.842164804	1.33730049	2.03309802	4.703298962
MIR4502	0	0	0	0	4.156898903	0	0.732154357	0	1.211555733	0	0	0	0.855380771	1.767539215	0	0	0.804881034	0	0	0
LOC101927170	0.187145393	0.404742712	0	0	0	0	0	0	0.535676934	0.082750371	0.300213241	0.095567136	0.075639566	0.078149933	0	0	0.142347956	0.064838291	0.179544877	0
MIR4501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4504	2.329146463	4.029829613	1.173774709	10.94510284	2.744908786	2.509615529	1.933842485	4.147683227	0	0.82390587	0.597815933	2.854548806	0.753106983	3.112406009	0	1.935174558	2.125935775	1.291127711	0.893821238	0.515782519
MIR4503	0	0	0	0	0	0	0	0	0	0.913245061	0	0	0	0	0	0	0	0	0	0
MIR4500	0	0	1.420885175	0	1.107594773	0	0	0	0	0	0	0	0	0	0	0	0	0.781472036	0	0
OR13D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSGALNACT1	13.34821008	1.764065583	9.45432688	7.202517048	6.74774711	1.602647445	5.165573583	3.189858783	10.7672743	1.391747847	8.916104718	4.743519527	4.561136961	5.225441168	5.28313434	2.312156614	4.890382191	2.353865165	5.965746406	3.36817765
USP8	12.8451711	23.28238879	14.55945978	12.22647871	17.16052681	14.57824168	15.48483944	17.37746025	14.87468297	14.61067252	14.18208994	18.99780602	17.01362877	14.69138605	10.74587377	18.02062414	13.4022595	20.24723002	16.79198682	19.24189618
USP7	23.84745443	47.29436396	22.59301181	21.35748339	29.31390859	28.31045025	27.11963612	27.22956066	27.57377383	41.05334491	24.92901206	30.56501856	24.34401758	24.35161065	25.60364488	33.94736932	28.05694907	36.85866712	31.45477509	34.96279451
RPL34P29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP6	0.053765268	0.017441867	0.006773759	0.007018145	0.042241728	0	0	0	0.012311631	0.009509389	0	0.010982248	0.034768959	0.008980722	0.006352017	0.014890316	0.057253487	0.007450994	0	0.011906158
USP5	15.23003398	24.51490205	12.16591186	11.53544249	17.93810651	21.19999881	14.10595979	15.12715055	14.79267405	20.16723275	14.1504961	11.8785967	15.06874793	14.44718201	14.07412072	7.718057517	18.36748105	17.27222179	17.85849791	16.9673214
USP4	16.27915086	12.69934291	17.14166911	15.39752818	20.61524214	14.1500895	20.15201554	22.38272421	19.50810577	18.1219296	12.98885705	13.49213117	11.85595119	12.9965614	12.87918919	14.05851083	14.90631861	17.91847094	16.40639254	18.17457354
MAMSTR	0.930738883	2.67627628	0.186552545	0.358954234	0.623227069	0.341882471	0.614706101	0.282517416	0.484383092	0.561199457	0.950131937	0.820952832	0.649768512	1.236666751	0.799714542	1.874680453	0.99755986	0.93807502	0.771174493	0.421587291
